Total records: 754,409
Total unique values: 170

================================================================================
ALL HOW REPORTED VALUES
================================================================================

'Radio'                                  :  297,057 ( 39.38%)
'Phone'                                  :  185,196 ( 24.55%)
'Self-Initiated'                         :  107,617 ( 14.27%)
'9-1-1'                                  :  101,842 ( 13.50%)
'Phb'                                    :        1 (  0.00%)
'Radio160'                               :        1 (  0.00%)
'TR'                                     :        1 (  0.00%)
'walk in '                               :        1 (  0.00%)
'rfosc'                                  :        1 (  0.00%)
'rhome'                                  :        1 (  0.00%)
'TeletyRadiope'                          :        1 (  0.00%)
'  '                                     :        1 (  0.00%)
'y789'                                   :        1 (  0.00%)
'Rad9-1-1io'                             :        1 (  0.00%)
'Columbus'                               :        1 (  0.00%)
'RVETER'                                 :        1 (  0.00%)
'are'                                    :        1 (  0.00%)
'RadiSelf-Initiatedo'                    :        1 (  0.00%)
'Radio\n'                                :        1 (  0.00%)
